id,name,latitude,longitude,departures,arrivals,combined,docks,launch
462,"Winchester (Ravenswood) Ave & Balmoral Ave",41.979762,-87.67753,8004,8004,16008,15,2015
627,"LaSalle Dr & Huron St (*)",41.894877,-87.632326,7949,7949,15898,20,2018
279,"Halsted St & 35th St (*)",41.830661,-87.647172,7733,7733,15466,16,2013
605,"University Library (NU)",42.052939,-87.673447,7651,7651,15302,15,2016
252,"Greenwood Ave & 47th St",41.809835,-87.599383,7640,7640,15280,15,2013
204,"Prairie Ave & Garfield Blvd",41.794853,-87.618691,7614,7614,15228,11,2013
491,"Talman Ave & Addison St",41.9466358306,-87.694614758,7586,7586,15172,15,2015
434,"Ogden Ave & Roosevelt Rd",41.86650148316,-87.68469707,7582,7582,15164,19,2015
604,"Sheridan Rd & Noyes St (NU)",42.058239,-87.677432,7579,7579,15158,15,2016
597,"Chicago Ave & Washington St",42.032562,-87.679101,7363,7363,14726,15,2016
490,"Troy St & Elston Ave",41.94524356848,-87.7066499009,7341,7341,14682,15,2015
171,"May St & Cullerton St",41.855136,-87.654127,7334,7334,14668,11,2013
509,"Troy St & North Ave",41.90976930169,-87.7052804871,7318,7318,14636,15,2015
135,"Halsted St & 21st St",41.85378,-87.64665,7315,7315,14630,11,2013
218,"Wells St & 19th St",41.856802,-87.633879,7292,7292,14584,11,2013
486,"Oakley Ave & Irving Park Rd",41.95434085219,-87.6860796243,7286,7286,14572,15,2015
278,"Wallace St & 35th St",41.830629,-87.64129,7056,7056,14112,15,2013
132,"Wentworth Ave & 24th St",41.849237,-87.631715,6992,6992,13984,15,2013
354,"Sheridan Rd & Greenleaf Ave",42.01058656284,-87.6624120948,6920,6920,13840,15,2015
403,"Wentworth Ave & 33rd St",41.83452988563,-87.6318229814,6914,6914,13828,15,2015
497,"Kimball Ave & Belmont Ave",41.939398,-87.711561,6908,6908,13816,15,2015
624,"Dearborn St & Van Buren St (*)",41.876268,-87.629155,6885,6885,13770,16,2017
492,"Leavitt St & Addison St",41.946655,-87.683359,6805,6805,13610,15,2015
603,"Chicago Ave & Sheridan Rd",42.050491,-87.677821,6745,6745,13490,15,2016
265,"Cottage Grove Ave & Oakwood Blvd",41.822985,-87.6071,6638,6638,13276,15,2013
621,"Aberdeen St & Randolph St",41.884114,-87.654264,6602,6602,13204,15,2018
449,"Clark St & Columbia Ave",42.00445062934,-87.6724024047,6575,6575,13150,15,2015
626,"Delano Ct & Roosevelt Rd",41.867491,-87.63219,6502,6502,13004,19,2017
471,"Francisco Ave & Foster Ave",41.97563272521,-87.7014194389,6357,6357,12714,15,2015
382,"Western Ave & Congress Pkwy",41.87474885079,-87.6864452757,6338,6338,12676,19,2015
